BBL,price,cap_rate,borough_cap_rate,Latitude,Longitude,BIN,deed_date,watchlist
2042380015,5500000,0.024569999999999998,0.034260000000000006,40.851653000000006,-73.82863499999999,2047437.0,2018-07-31,0.0
2043170019,17500000,0.02422,0.034260000000000006,40.856665,-73.875798,2000000.0,2018-08-22,0.0
2043180030,13000000,0.02822,0.034260000000000006,40.856265,-73.866649,2049398.0,2018-08-22,0.0
2043190025,22500000,0.02635,0.034260000000000006,40.856317,-73.86662700000001,2049406.0,2018-08-22,0.0
2044360027,8500000,0.037610000000000005,0.034260000000000006,40.863152,-73.864339,2051421.0,2018-09-28,1.0
2045700032,10000000,0.03681,0.034260000000000006,40.870151,-73.86431800000001,2055615.0,2018-09-28,1.0
2047590019,3327720,0.07272,0.034260000000000006,40.871432,-73.846479,2061682.0,2018-08-10,1.0
2048450031,9360000,0.036910000000000005,0.034260000000000006,40.89185,-73.857488,2063675.0,2018-09-06,1.0
2050670040,3327720,0.034319999999999996,0.034260000000000006,40.900131,-73.855459,2070625.0,2018-08-10,1.0
3008080025,4000000,0.02163,0.03538,40.643325,-74.010407,3013956.0,2018-09-26,0.0
3011430035,8600000,0.05549,0.03538,40.680371,-73.972815,3392324.0,2018-07-30,1.0
3012340005,8650000,0.019880000000000002,0.03538,40.674275,-73.949526,3031229.0,2018-09-21,0.0
3012870033,18400000,0.01747,0.03538,40.667636,-73.957054,3033788.0,2018-07-24,0.0
3013680051,1850000,0.04562,0.03538,40.672478000000005,-73.92521500000001,3036312.0,2018-09-07,1.0
3016170057,15200000,0.026160000000000003,0.03538,40.690975,-73.92884000000001,3043904.0,2018-07-09,0.0
3017340052,3000000,0.03804,0.03538,40.695361,-73.95628599999999,3048427.0,2018-07-24,1.0
3020140031,12100000,0.032780000000000004,0.03538,40.682418,-73.961854,3425179.0,2018-08-01,0.0
3039090008,5750000,0.03392,0.03538,40.6836,-73.885595,3086553.0,2018-07-10,0.0
3040380015,1875000,0.055779999999999996,0.03538,40.672996000000005,-73.879427,3089610.0,2018-08-14,1.0
3046260006,7210000,0.03167,0.03538,40.659564,-73.926199,3100381.0,2018-07-02,0.0
3048370089,12800000,0.04046,0.03538,40.654203,-73.94926,3107786.0,2018-07-10,1.0
3048680083,1000000,0.15955,0.03538,40.651749,-73.94882199999999,3108536.0,2018-08-22,1.0
3048990008,11500000,0.04283,0.03538,40.651123999999996,-73.934234,3109903.0,2018-07-02,1.0
3050860050,8500000,0.03325,0.03538,40.651773999999996,-73.955961,3116715.0,2018-07-02,0.0
3051940025,22200000,0.047560000000000005,0.03538,40.642084999999994,-73.94962199999999,3119976.0,2018-07-30,1.0
3052340016,7400000,0.03146,0.03538,40.634608,-73.96413299999999,3121114.0,2018-08-30,0.0
3053280023,18300000,0.03145,0.03538,40.647116,-73.975124,3124302.0,2018-08-28,0.0
3054200058,2050000,0.13804,0.03538,40.631840000000004,-73.97193100000001,3127823.0,2018-08-24,1.0
3056770025,1667500,0.17612,0.03538,40.631547,-73.993922,3139420.0,2018-08-24,1.0
3056850041,15000000,0.03403,0.03538,40.628879,-73.991354,3139816.0,2018-09-04,0.0
3058890037,2282550,0.14837999999999998,0.03538,40.634736,-74.02940699999999,3146477.0,2018-08-24,1.0
3065310006,16000000,0.02957,0.03538,40.624675,-73.965918,3171268.0,2018-08-01,0.0
3065520008,6100000,0.02901,0.03538,40.614917999999996,-73.980298,3172183.0,2018-08-28,0.0
3067730012,15000000,0.02806,0.03538,40.613983000000005,-73.94775600000001,3182257.0,2018-08-29,0.0
3068010056,27700000,0.027610000000000003,0.03538,40.606932,-73.955015,3183160.0,2018-08-28,0.0
3073960053,31900000,0.03768,0.03538,40.592674,-73.959158,3201730.0,2018-09-20,1.0
4005700024,8400000,0.03985,0.0325,40.767232,-73.928119,4006691.0,2018-07-31,1.0
4008420064,11000000,0.03814,0.0325,40.774852,-73.91409499999999,4017497.0,2018-07-31,1.0
4010880058,4700000,0.04674,0.0325,40.767207,-73.875918,4023715.0,2018-08-29,1.0
4012160080,3300000,0.03404,0.0325,40.748745,-73.90079300000001,4027859.0,2018-07-25,1.0
4015640043,3650000,0.05272999999999999,0.0325,40.746593,-73.872914,4039101.0,2018-09-07,1.0
4157440007,19100000,0.030369999999999998,0.0325,40.599573,-73.76421500000001,4300850.0,2018-08-15,0.0
1002770002,12000000,0.016030000000000003,0.03345,40.712142,-73.996259,1003329.0,2018-04-25,0.0
1003100003,7100000,0.02758,0.03345,40.71605,-73.990415,1004021.0,2018-05-09,0.0
1005510016,45000000,0.01841,0.03345,40.730883,-73.99759300000001,1000000.0,2018-06-21,0.0
1007920020,41409879,0.020819999999999998,0.03345,40.739079,-73.996781,1014575.0,2018-04-05,0.0
1008280001,363508320,0.058910000000000004,0.03345,40.744890000000005,-73.991342,1015632.0,2018-06-30,1.0
1010640056,9900000,0.02358,0.03345,40.76721,-73.988087,1026804.0,2018-06-25,0.0
1012530045,30000000,0.025730000000000003,0.03345,40.794959000000006,-73.974614,1034185.0,2018-06-01,0.0
1013290121,19500000,0.01926,0.03345,40.758518,-73.967434,1038588.0,2018-04-19,0.0
1014290001,8095334,0.059379999999999995,0.03345,40.771198999999996,-73.959532,1044019.0,2018-06-28,1.0
1015590047,14938625,0.015269999999999999,0.03345,40.772771999999996,-73.95235699999999,1050354.0,2018-04-12,0.0
1016240021,25450000,0.01877,0.03345,40.785738,-73.9506,1051704.0,2018-05-31,0.0
1019030062,5225000,0.02658,0.03345,40.804937,-73.951261,1057518.0,2018-05-17,0.0
1019880086,7200000,0.029410000000000002,0.03345,40.819296,-73.95304300000001,1059785.0,2018-04-05,0.0
1019880101,7210000,0.01865,0.03345,40.819153,-73.952689,1059794.0,2018-05-03,0.0
1020710015,9200000,0.02972,0.03345,40.822342,-73.95180500000001,1061730.0,2018-05-14,0.0
1020710061,26200000,0.017669999999999998,0.03345,40.822973,-73.952961,1061751.0,2018-06-26,0.0
1020840062,6255000,0.02244,0.03345,40.831285,-73.94689100000001,1062252.0,2018-04-24,0.0
1021100070,4795000,0.029230000000000003,0.03345,40.836877,-73.938022,1062622.0,2018-04-17,0.0
1021320021,13650000,0.03186,0.03345,40.846377000000004,-73.934048,1063183.0,2018-06-25,0.0
1021390517,19550000,0.030910000000000003,0.03345,40.84775,-73.940557,1063448.0,2018-06-19,0.0
2022930056,8500000,0.02792,0.03665,40.815325,-73.9159,2000539.0,2018-05-10,0.0
2023810045,3900000,0.04112,0.03665,40.822618,-73.912773,2001481.0,2018-05-10,1.0
2023810049,1000000,0.13277,0.03665,40.82298,-73.912245,2001482.0,2018-06-27,1.0
2024040024,2450000,0.0453,0.03665,40.821821,-73.915111,2001747.0,2018-05-10,1.0
